date,headline,abstract,document_type,type_of_material,news_desk,section_name,subjects
6/22/2006,"Little Graduates, With Some Big Tests Yet Ahead","Preschoolers at Children's Learning Center at Helen Keller Services for the Blind in Brooklyn, all with vision impairments and other disabilities, celebrate their achievements at their graduation ceremony; photo (M)",article,News,Metropolitan Desk,New York,"['New York City', 'HELEN KELLER SERVICES FOR THE BLIND', ""CHILDREN'S LEARNING CENTER"", 'Education and Schools', 'Children and Youth', 'EDUCATION (PRESCHOOL)', 'Blindness']"
6/26/2006,Reliable Public Schools (1 Letter),To the Editor:.,article,Letter,Letters,Opinion,"['Education and Schools', 'National Center for Learning Disabilities', 'Staples, Brent', 'Handicapped', 'Wendorf, James H']"
7/2/2006,Seeing the World Through My Wife's Eyes,"The morning I turned 18, I was told I was going blind. I would give anything to tell you what my wife looks like, but I can't. A real blind love, the literal kind, is a giving over of consciousness.",article,News,Styles,Fashion & Style,"['Sushi', 'Banana Republic', 'Blindness', 'Smell', 'Families and Family Life', 'Colleges and Universities', 'Dogs', 'PORNOGRAPHY AND OBSCENITY', 'Marriages', 'Shoes and Boots']"
7/2/2006,Seeing the World Through my Wife's Eyes,Ryan Knighton Modern Love article on how his blindness has created literal blind love for his wife; says he is able to give over his consciousness and let her see for him; says they share rare and unique closeness; drawing (M),article,News,Style Desk,Style,"['MARRIAGE', 'Marriages', 'Blindness', 'Families and Family Life']"
7/7/2006,"Arts, Briefly; Connecticut Gives Funds To Theater of the Deaf","Connecticut state government announces that it has set aside $200,000 of recently approved budget for National Theater of the Deaf in West Hartford, which has been struggling to stay open after its federal funding was eliminated (S)",article,News,"Movies, Performing Arts/Weekend Desk",Theater,"['Connecticut', 'United States', 'National Theater of the Deaf', 'Deafness', 'Finances', 'Budgets and Budgeting', 'Theater']"
7/8/2006,Corrections,Corrections on June 29 article about impending federal approval of drug Lucentis,article,Correction,Metropolitan Desk,New York,"['AGED', 'Lucentis (Drug)', 'Correction Stories', 'Blindness']"
7/13/2006,A Scanner-Reader to Take Along Anywhere,"A new portable device can turn all types of printed text into speech, anywhere.",article,News,Business,Technology,"['Blindness', 'Computers and the Internet']"
7/13/2006,A Scanner-Reader to Take Along Anywhere,"Inventor Ray Kurzweil and National Federation of the Blind introduce combination digital camera and hand-held organizer that snaps picture of any printed material, scans text and reads it few seconds later, using synthesized voice; device prints or stores material for later use; photo (S)",article,News,Business/Financial Desk,Books,"['National Federation of the Blind', 'Kurzweil, Ray', 'Books and Literature', 'Photography', 'Scanning Devices', 'VOICE RECOGNITION AND SYNTHESIS', 'Inventions and Patents', 'Blindness', 'Computers and the Internet']"
7/20/2006,Advocate for China's Weak Crosses the Powerful,A blind advocate for the disabled exemplifies the tendency of Chinese leaders to use legal pretexts to crush dissent.,article,News,Foreign,World,"['China', 'Prisons and Prisoners', 'Blindness', 'Beijing (China)', 'Birth Control and Family Planning', 'Suits and Litigation', 'ABORTION', 'News and News Media']"
7/20/2006,Advocate for Chinas Weak Crosses the Powerful,"Only a few years ago, Chen Guangcheng, a blind man who taught himself the law, was hailed as a champion of peasant rights who symbolized China's growing embrace of legal norms.     Mr. Chen helped other people with disabilities avoid illegal fees and taxes. He forced a paper mill to stop spewing toxic chemicals into his village's river. The authorities in his home province, Shandong, considered him a propaganda coup and broadcast clips from his wedding ceremony on television.",article,News,Foreign Desk,World,"['China', 'Beijing (China)', 'ABORTION', 'Prisons and Prisoners', 'Suits and Litigation', 'Birth Control and Family Planning', 'Blindness', 'News and News Media']"
8/10/2006,Money Woes Threaten National Theater of the Deaf,"Unless federal and state agencies come to some agreement about its financing, the National Theater of the Deaf may be unable to carry on much longer.",article,News,Culture,Theater,"['National Theater of the Deaf', 'Budgets and Budgeting', 'Connecticut', 'Hays, David', 'CONGRESS', 'Sullivan, Kevin B', 'EDUCATION DEPARTMENT', 'Theater', 'National Endowment for the Arts', 'Finances', 'Deafness']"
8/10/2006,Money Woes Threaten National Theater of the Deaf,"National Theater of the Deaf continues to struggle with financial woes as National Endowment for the Arts actively seeks repayment of $75,000 from deal theater entered into more than 15 years ago; Michael P Hammond, lawyer who was chairman of theater's board from late 2000 to early 2003, will be representing organization pro bono and hopes to persuade officials in Washington to forgive loan, stretch out payments or come up with another solution to help theater stay in business; photos (M)",article,News,The Arts/Cultural Desk,Theater,"['Connecticut', 'CONGRESS', 'EDUCATION DEPARTMENT', 'National Theater of the Deaf', 'National Endowment for the Arts', 'Hays, David', 'Sullivan, Kevin B', 'HAMMOND, MICHAEL P', 'Deafness', 'Finances', 'Budgets and Budgeting', 'Theater']"
8/25/2006,A Deaf Folk Artist Who Keenly Saw the World Around Him,"Despite being deaf and mute, John Brewster Jr. produced about 250 commissioned likenesses of subjects all over New England during his lifetime.",article,News,Weekend,Arts,"['AMERICAN FOLK ART MUSEUM', 'Art', 'Museums', 'Deafness']"
8/25/2006,A Deaf Folk Artist Who Keenly Saw the World Around Him,"Wendy Moonan Antiques column on book A Deaf Artist in Early America: The Worlds of John Brewster Jr by Harlan Lane, which centers around John Brewster Jr, American folk artist and portraitist who, despite being deaf and mute, produced about 250 commissioned likenesses of subjects all over New England; notes that Florence Griswold Museum in Old Lyme, Conn, has show of 50 Brewster portraits; photo (M)",article,News,Leisure/Weekend Desk,Books,"['AMERICAN FOLK ART MUSEUM', 'Griswold, Florence, Museum', 'LANE, HARLAN', 'BREWSTER, JOHN JR', 'Deafness', 'Books and Literature', 'Museums', 'Art', 'DEAF ARTIST IN EARLY AMERICA, A (BOOK)']"
9/25/2006,Spreading the Word: A Deaf Boy Joins the Gang,"""Maya & Miguel,"" a show that teaches children about the value of Spanish and English bilingualism, is trying its hand at animating sign language.",article,News,Culture,Arts,"['ANIMATED FILMS', 'Television', 'Public Television', 'Ontiveros, Lupe', 'Public Broadcasting Service', 'Language and Languages', 'Deafness']"
9/25/2006,Spreading the Word: A Deaf Boy Joins the Gang,"Maya & Miguel, PBS animated series that teaches children about value of Spanish and English bilingualism, will incorporate American Sign Language in one episode; idea originated with actress Lupe Ontiveros, who voices character on show and has two hearing-impaired sons; photo (M)",article,News,The Arts/Cultural Desk,Arts,"['Public Broadcasting Service', 'Ontiveros, Lupe', 'ANIMATED FILMS', 'Deafness', 'Spanish Language', 'Television', 'Children and Youth', 'Language and Languages', 'English Language', 'Public Television', 'Sign Language', 'MAYA & MIGUEL (TV PROGRAM)']"
9/26/2006,"Hearing Loss Is Common, but Often Untreated","Hearing loss is the third most common chronic condition among older Americans, after hypertension and arthritis.",article,News,Science,Health,"['AGED', 'Ears and Hearing', 'Deafness', 'Hearing Aids']"
9/26/2006,"Hearing Loss Is Common, but Often Untreated",Jane E Brody Personal Health column discusses amny causes of hearing loss and various types of hearing aids; drawing (M),article,Series,Health&Fitness,Health,"['Deafness', 'Hearing Aids', 'AGED', 'Ears and Hearing', 'PERSONAL HEALTH (TIMES COLUMN)']"
9/27/2006,World Briefing | Europe: Russia: Four Years In Prison For Brutal Army Hazing,"Russian military court sentences Army Sergeant Aleksandr V Sivyakov to four years in prison for physical abuse of draftee Andrei S Sychev, whose injuries were so severe that his legs and genitals were amputated; beating took place at Chelyabinsk Tank Academy during military hazing ritual known as dedovshchina, which is acknowledged to be widespread (S)",article,News,Foreign Desk,World,"['Russia', 'CHELYABINSK TANK ACADEMY', 'SYCHEV, ANDREI S', 'SIVYAKOV, ALEKSANDR V', 'AMPUTATION', 'Hazing', 'Sentences (Criminal)']"
9/29/2006,Three Tales Revolving Around a Real Life,"Although four stories are folded together in Eric Khoo's elliptical film, it's the true story of a deaf and blind Singaporean woman that gives the movie its backbone.",article,Review,Weekend,Movies,"['MOTION PICTURES', 'Blindness', 'Deafness']"
9/29/2006,Three Tales Revolving Around a Real Life,"Although four stories, three fictional and one real, are folded together in Eric Khoo's elliptical film ''Be With Me,'' the tale that gives this delicate, melancholic movie its backbone is the true one of its courageous central character, Theresa Chan. A deaf and blind Singaporean woman in her early 60's who plays herself in the movie, Ms. Chan is an indomitable life force and charismatic screen presence. Even after she concludes her account of transcending the ''silent, dark prison'' of her disabilities with the help of gifted teachers, you are left wondering how she did it.     Remarkably self-sufficient, Ms. Chan is shown carefully washing her own dishes at home and teaching pottery to children at a school for the blind in Singapore. Although she can't hear, she occasionally speaks intelligible sentences in a rough, loud voice.",article,Review,"Movies, Performing Arts/Weekend Desk",Arts,"['Deafness', 'MOTION PICTURES', 'Blindness', 'BE WITH ME (MOVIE)']"
10/3/2006,"For Some Who Lost Their Hearing, Implants Help",Perhaps as many as one million people in the United States could benefit from a cochlear implant.,article,News,Science,Health,"['Hearing Aids', 'Deafness', 'Ears and Hearing']"
10/3/2006,"For Some Who Lost Their Hearing, Implants Help","Jane E Brody Personal Health column describes cochlear implant procedure and its potential benefits for those people who have lost their hearing; implants will not improve some types of hearing loss and are very expensive; cost about $40,000 per ear; drawing (M)",article,News,Health&Fitness,Health,"['Deafness', 'Hearing Aids', 'Prices (Fares, Fees and Rates)', 'Implants', 'Cochlea (Ear Part)', 'Surgery and Surgeons', 'Ears and Hearing', 'PERSONAL HEALTH (TIMES COLUMN)']"
10/6/2006,Intense Visions by a Painter Who Couldn't Hear,"John Brewster Jr., the subject of a fine traveling show at the American Folk Art Museum, painted children's portraits with an incisive and empathetic eye.",article,Review,Weekend,Arts,"['AMERICAN FOLK ART MUSEUM', 'Children and Youth', 'Art', 'Deafness']"
10/6/2006,Intense Visions by a Painter Who Couldn't Hear,Holland Cotter reviews exhibition A Deaf Artist in Early America: The Worlds of John Brewster Jr at American Folk Art Museum; photo (M),article,Review,Leisure/Weekend Desk,Arts,"['AMERICAN FOLK ART MUSEUM', 'BREWSTER, JOHN JR', 'Deafness', 'Reviews', 'Children and Youth', 'Art']"
10/13/2006,Protests Shut University for Deaf a 2nd Day,"Students at Gallaudet University, the nation's only liberal arts university for the deaf, shut down classes for a second day to protest the choice of a new president.",article,News,National,Education,"['Gallaudet University', 'Deafness', 'Colleges and Universities']"
10/13/2006,Protests Shut University for Deaf a 2nd Day,"Students protesting choice of Jane K Fernandes as president of Gallaudet University, nation's only liberal arts university for the deaf, shut down classes for second day; departing president I King Jordan calls for end to demonstrations; protesters complain that, even though students were on presidential search committee, their voices were not heard; say search was biased toward Fernandes; Fernandes issues statement saying she has no intention of stepping aside; photo (M)",article,News,National Desk,U.S.,"['Gallaudet University', 'Jordan, I King', 'Fernandes, Jane K', 'Deafness', 'Shutdowns (Institutional)', 'Colleges and Universities', 'Demonstrations and Riots']"
10/14/2006,Students Arrested in Third Day of Protest at College for the Deaf,"The authorities at Gallaudet University, the nation's only liberal arts university for the deaf, moved to end a three-day siege by protesters by arresting the students.",article,News,National,Education,"['Deafness', 'Gallaudet University']"
10/14/2006,Students Arrested in Third Day of Protest at College for the Deaf,Authorities at Gallaudet University move to end three-day siege by arresting about 100 students protesting board's choice of former provost Jane K Fernandes as next president (M),article,News,National Desk,U.S.,"['Gallaudet University', 'Fernandes, Jane K', 'Deafness', 'Colleges and Universities', 'Demonstrations and Riots']"
10/15/2006,An Actor Uses His Second Language: Speech,"When Darren Fudenske, a deaf actor, steps onto a downtown stage as Tilden in Sam Shepard's ""Buried Child,"" the play is turned into something new.",article,News,0,Theater,"['Shepard, Sam', 'Theater', 'ACTORS AND ACTRESSES', 'National Theater of the Deaf', 'Deafness']"
10/15/2006,An Actor Uses His Second Language: Speech,"Article describes new Access Theater production of Sam Shepard's 1979 play Buried Child, directed by Stephanie Barton-Farcas and featuring deaf actor Darren Fudenske; Fudenske speaks in play and does not use sign language; assumption is character does not know it, symbolizing family's state of denial; Fudenske's career and future plans discussed; photo (M)",article,News,Arts and Leisure Desk,Theater,"['Access Theater', 'National Theater of the Deaf', 'BARTON-FARCAS, STEPHANIE', 'Shepard, Sam', 'FUDENSKE, DARREN', 'Deafness', 'ACTORS AND ACTRESSES', 'Sign Language', 'Theater', 'Buried Child (Play)']"
10/17/2006,University for Deaf Resumes,"Classes resume at Gallaudet University, nation's only liberal arts college for deaf, though protesters opposed to board's selection of new president continue to block main gate (S)",article,News,National Desk,U.S.,"['Gallaudet University', 'Deafness', 'Colleges and Universities', 'Demonstrations and Riots']"
10/21/2006,Turmoil at College for Deaf Reflects Broader Debate,Protests over a new president at Gallaudet University illuminate differences over the future of deaf culture.,article,News,National,Education,"['Education and Schools', 'Deafness', 'Gallaudet University']"
10/21/2006,Turmoil at College for Deaf Reflects Broader Debate,"Protests over selection of new president, Jane K Fernandes, have thrown Gallaudet University into turmoil; clash is also illuminating differences over future of deaf culture and focusing attention on politically charged debate about what it means to be deaf in 21st century; some students want Gallaudet to be standard bearer for view that sees deafness not as disability, but as identity, and that looks warily on technology like cochlear implants; students say they felt misunderstood and marginalized until they attended schools for deaf and learned sign language; complain that Fernandes does not communicate well in American Sign Language; photos (M)",article,News,National Desk,U.S.,"['Gallaudet University', 'Fernandes, Jane K', 'Deafness', 'Education and Schools', 'Colleges and Universities', 'Implants', 'Demonstrations and Riots', 'Cochlea (Ear Part)', 'Sign Language']"
10/30/2006,"At College for Deaf, Trustees Drop New Leader","Gallaudet University board of trustees abandons its choice of institution's next president after months of widening and unrelenting protests by students, faculty, alumni and advocates; terminates contract of Jane K Fernandes, who claims her opponents do not consider her culturally 'deaf enough'; victory of protesters almost certainly means next president must be seen as firmly committed to nurturing deaf identity among students and advocating for deaf rights; Fernandes has argued that Gallaudet's survival depends on aggressively recruiting among all deaf students, and in harnessing any available technology to help them advance; says while American Sign Language would play crucial role, she could never envision banning spoken language at Gallaudet, as some students are demanding (M)",article,News,National Desk,U.S.,"['Gallaudet University', 'Jordan, I King', 'Fernandes, Jane K', 'Appointments and Executive Changes', 'Deafness', 'Colleges and Universities', 'Demonstrations and Riots', 'Sign Language']"
10/30/2006,"At College for Deaf, Trustees Drop New Leader",The victory of the protesters at Gallaudet University represents a signal moment in the fight over deaf culture.,article,News,National,Education,"['Jordan, I King', 'Appointments and Executive Changes', 'Demonstrations and Riots', 'Fernandes, Jane K', 'Gallaudet University', 'Deafness']"
10/31/2006,"At University for Deaf, Protesters Press Broader Demands","The day after protesters at Gallaudet University prevailed in their battle to oust the incoming president, they pressed forward with broader demands.",article,News,National,Education,"['Gallaudet University', 'Deafness', 'Colleges and Universities']"
10/31/2006,Signs of Revolution,"Op-Ed article by Leah Hager Cohen says Gallaudet Univ board's vote to revoke appointment of Dr Jane Fernandes as president was just and commendable decision that might be misinterpreted as act of capitulation to angry mob; says monthlong protest was never really about deafness, as Fernandes and her supporters claim, but about seriously flawed presidential search process; says inexplicable omission of few highly qualified candidates from list of finalists made it virtually impossible for position not to go to Fernandes, despite fact that she was subject of two votes of no confidence by faculty in past six years; says at heart of crisis was protesters' refusal to relinquish basic, hard-won rights (M)",article,Op-Ed,Editorial Desk,Opinion,"['Gallaudet University', 'Fernandes, Jane K', 'Appointments and Executive Changes', 'Deafness', 'Colleges and Universities', 'Demonstrations and Riots']"
10/31/2006,Signs of Revolution,"When the Gallaudet University board voted to revoke the appointment of Dr. Jane Fernandes as the institution's next president, it was a just and commendable decision.",article,Op-Ed,OpEd,Opinion,"['Deafness', 'Cohen, Leah Hager', 'Gallaudet University']"
10/31/2006,"At University for Deaf, Protesters Press Broader Demands","Student protesters at Gallaudet University, after prevailing in battle to oust incoming president, press forward with broader demands calling for greater say in search for new president; say next choice should be more forceful advocate for deaf culture; board has not yet set parameters for new search; photo (M)",article,News,National Desk,U.S.,"['Gallaudet University', 'Deafness', 'Colleges and Universities', 'Demonstrations and Riots']"
11/3/2006,Court Orders Changes to Medical Admissions Test,California judge orders Assn of American Medical Colleges to change its procedures to accommodate learning-disabled students taking Medical College Admission Test; lawsuit deals only with California law but ruling could have repercussions nationwide (S),article,News,National Desk,U.S.,"['California', 'ASSOCIATION OF AMERICAN MEDICAL COLLEGES', 'Learning Disabilities', 'Medical Schools', 'MEDICAL COLLEGE ADMISSION TEST', 'Suits and Litigation', 'Medicine and Health', 'Decisions and Verdicts']"
11/6/2006,Do the Rights of the Disabled Extend to the Blind on the Web?,A lawsuit claims Target declined to implement technology to make its Web site accessible to the blind.  The ruling may decide if disability rights extend to the Web.,article,News,Business,Technology,"['Blindness', 'Target Corp', 'COMPUTER SOFTWARE', 'Computers and the Internet']"
11/6/2006,Do the Rights of the Disabled Extend to the Blind on the Web?,"Online companies and traditional companies with Internet components try to solve problem of making sites accessible to blind shoppers; National Federation of the Blind sues Target for declining to make its Web site fully accesible to blind people; Amazon.com has interest in outcome of case since it runs Target's Web site; 200,000 of nation's 1.3 million people with vision disabilities are online using screen-reading software that helps them navigate; online retailers have made efforts to make sites accessible as it brings in more revenue and is good public relations; photo (M)",article,News,Business/Financial Desk,Business Day,"['Target Corp', 'National Federation of the Blind', 'AMAZON.COM INC', 'COMPUTER SOFTWARE', 'Suits and Litigation', 'Blindness', 'RETAIL STORES AND TRADE', 'Computers and the Internet']"
11/7/2006,"To Prevent Amputations, Doctors Call for Aggressive Care","Dr Karel Bakker, International Diabetes Federation chairman, discusses need for aggressive wound care in order to prevent amputations; recent research published in journal Diabetes Care reports that nearly 9 in 10 nontraumatic foot and leg amputations come after development of infected sores; quality care for people in jeopardy of amputation is difficult to find with many states having limited number of vascular surgeons who may be able to save limbs; photos (M)",article,News,Health&Fitness,Health,"['INTERNATIONAL DIABETES FEDERATION', 'DIABETES CARE', 'BAKKER, KAREL', 'AMPUTATION', 'States (US)', 'Infections', 'Legs', 'Diabetes', 'Shortages', 'Doctors', 'Feet', 'Medicine and Health', 'Research', 'Surgery and Surgeons', 'Handicapped']"
11/12/2006,Corrections,Correction of October 29 article about training for private pilot's license; color-blind people are not disqualified from licensing process (S),article,Correction,Money and Business/Financial Desk,Business Day,"['AIRLINES AND AIRPLANES', 'Pilots', 'Correction Stories', 'Color Blindness']"
11/13/2006,Aspirations Beyond Guard Duty,"Canine Companions for Independence is national organization that provides assistance dogs to adults and children who have range of disabilities; training and breeding of dogs described; photos (special section, Giving) (M)",article,News,Giving,Giving,"['Canine Companions for Independence', 'Dogs', 'SPECIAL SECTIONS', 'Blindness', 'Handicapped']"
11/13/2006,The Emotional Path From Puppy to Guide Dog,"Thousands of volunteers prepare puppies to enter formal training as guide dogs for blind; puppy-raisers accustom future service dogs to situations they will face in places and events where regular pets seldom venture; also teach them special tasks; puppies are sent to guide-dog school when they are mature enough for more specific training; American Foundation for the Blind lists 16 guide-dog schools, many of which have similar puppy programs; photos (special section, Giving) (M)",article,News,Giving,Giving,"['AMERICAN FOUNDATION FOR THE BLIND', 'SEEING-EYE DOGS', 'Dogs', 'SPECIAL SECTIONS', 'Blindness']"
11/14/2006,Preventing Amputations,Dr Daren D Repishti letter on November 7 article about amputations describes several innovations and changes in medicine that should help doctors treat patients without performing needless amputations,article,Letter,Science Desk,Opinion,"['REPISHTI, DAREN D', 'AMPUTATION', 'Infections', 'Legs', 'Diabetes', 'Doctors', 'Feet', 'Surgery and Surgeons']"
11/20/2006,Success in Private School,"Karen Dolins letter contends learning disabilities are not adequately addressed, even in suburban schools (Nov 13 article)",article,Letter,Editorial Desk,Opinion,"['DOLINS, KAREN REZNIK', 'Learning Disabilities', 'Suburbs', 'Education and Schools']"
11/23/2006,Corrections,Correction of Nov 13 article about volunteers who raise guide dogs for the blind,article,Correction,Metropolitan Desk,New York,"['Dogs', 'Volunteers', 'Correction Stories', 'Blindness']"
11/29/2006,"U.S. Currency Discriminates Against Blind, Judge Rules",The judge said that the government illegally discriminated against blind people by printing its paper currency on bills that could not be distinguished by touch.,article,News,National,Washington,"['Currency', 'Blindness', 'Treasury Department']"
11/29/2006,"U.S. Currency Discriminates Against Blind, Judge Rules","Judge James Robertson rules that Treasury Department illegally discriminates against blind people by printing its paper currency on bills of same size that cannot be distinguished by touch; orders department to start discussing potential remedies, including different note sizes for different denominations and raised numbers and perforated dots on the bills (M)",article,News,National Desk,U.S.,"['Treasury Department', 'Robertson, James', 'Currency', 'Suits and Litigation', 'Discrimination', 'Blindness', 'Decisions and Verdicts']"
12/3/2006,If It Feels Like a Dollar ...,The American government has not tried very hard to help those Americans who cannot see their money.,article,Editorial,Editorial,Opinion,"['Counterfeit Money and Financial Instruments', 'Editorials', 'Blindness', 'Handicapped', 'Treasury Department']"
12/3/2006,If It Feels Like a Dollar ...,Editorial discusses Judge James Robertson's ruling that government discriminates against blind people by issuing dollar bills in one size and one color; notes that changing legal tender would be expensive; says Robertson's opinion makes it clear that Treasury Department simply has not tried very hard to make any adaptation for blind,article,Editorial,Editorial Desk,Opinion,"['Treasury Department', 'Robertson, James', 'Counterfeit Money and Financial Instruments', 'Editorials', 'Currency', 'Suits and Litigation', 'Discrimination', 'Blindness', 'Decisions and Verdicts', 'Handicapped']"
12/5/2006,"Wanting Babies Like Themselves, Some Parents Choose Genetic Defects","Dr Darshak M Sanghavi, University of Massachusetts Medical School pediatric cardiologist and author of Map of the Child: Pediatrician's Tour of the Body, discusses recent journal article in Fertility and Sterility on genetic selection; says that new preimplantation genetic diagnosis, or PGD, has raised ethical questions about genetic defects and screening; parents and doctors can make decisions about whether or not to implant embryo that would develop into child with birth defects; parents with disabilities, like dwarfism and deafness, will sometimes select embryo that will allow them to have child with same condition; ethical debate over this use of testing discussed; drawing (M)",article,News,Health&Fitness,Books,"['FERTILITY AND STERILITY', 'University of Massachusetts', 'AMNIOCENTESIS', 'Dwarfism', 'Reproduction (Biological)', 'Tests and Testing', 'Birth Defects', 'Deafness', 'Children and Youth', 'Genetics and Heredity', 'Ethics', 'Books and Literature', 'Doctors', 'ARTIFICIAL INSEMINATION', 'DNA (Deoxyribonucleic Acid)', 'MAP OF THE CHILD (BOOK)']"
12/10/2006,The Visage Problem,"Finding that as many as 2 percent of all humans suffer to some degree from prosopagnosia, inability to remember faces, is included in Times Magazine's sixth annual ideas issue; drawing (M)",article,News,Magazine,Magazine,"['Prosopagnosia (Brain Disorder)', 'Memory', 'PROSOPAGNOSIA (FACE-BLINDNESS)', 'Face', 'Blindness', 'Handicapped']"
12/10/2006,The Visage Problem,"In August, Mary Ann Sieghart, a columnist for The Times of London, described her battle with the disorder prosopagnosia, also known as face-blindness. She can spend an hour and a half with a new acquaintance at lunch, “furiously trying to imprint his features on my memory,” she wrote. “Yet the chances are that the next time I bump into him, I won't know who he is.” Like other prosopagnosics, Sieghart finds most human faces to be about as distinguishable as stones in a driveway. The disorder was first fully described in the medical literature in the 1940s and has long been viewed as an exceedingly rare, baffling derangement.",article,News,Magazine,Magazine,"['Blindness', 'Prosopagnosia (Brain Disorder)', 'Handicapped']"
12/12/2006,Choosing Babies' Genes,William O'Connor letter on December 5 article about parents choosing to have children with birth defects says doctors should not allow parents to knowingly have children with genetic problems; Jane R Madell letter holds that with technological advances there are fewer and fewer deaf people and having deaf child on purpose is limiting child's potential,article,Letter,Science Desk,Opinion,"[""O'CONNOR, WILLIAM"", 'MADELL, JANE R', 'Birth Defects', 'Deafness', 'Dwarfism', 'Genetics and Heredity', 'Ethics', 'ARTIFICIAL INSEMINATION', 'Reproduction (Biological)', 'Doctors', 'Tests and Testing']"
12/13/2006,Votes Are Cast. Make Sure They're Counted.,"Letters on Dec 8 article and Dec 11 editorial about conduct of US elections; A P Healy warns that paper receipt proves nothing because corrupted machine could print out voter's choice correctly but record it differently; Alexander S Belenky and Richard C Larson propose federal standard for maximum waiting time so voters are not discouraged from casting ballots; William Zeph Ginsberg warns that programmers can easily change computer code to alter count, so that optically scanned paper ballot must be vote that counts if there is challenge; Suzanne Erb says that as blind voter she hopes for mechanism to give her independent, private access to ballot box",article,Letter,Editorial Desk,Opinion,"['United States', 'GINSBERG, WILLIAM ZEPH', 'BELENKY, ALEXANDER S', 'Larson, Richard C', 'HEALY, A P', 'ERB, SUZANNE', 'Voting Machines', 'Frauds and Swindling', 'VOTING REQUIREMENTS AND VOTERS', 'VOTER BEHAVIOR', 'Elections', 'Blindness', 'Computers and the Internet']"
12/16/2006,Gallaudet Will Proceed With Action Against Protesters,Gallaudet University will proceed with disciplinary action against student demonstrators who forced ouster of university pres Jane K Fernandes (S),article,News,National Desk,Education,"['Gallaudet University', 'Fernandes, Jane K', 'Deafness', 'Colleges and Universities', 'Demonstrations and Riots']"
12/17/2006,"On the Job, Learning Disabilities Can Often Hide in Plain Sight",Learning Disabilities Association of America-financed study shows that majority of working adults hide their learning disabilities from employers; finds that 90 percent of 70 adults surveyed did not know of protection by federal law against discrimination in workplace; photo (M),article,News,Job Market,Archives,"['United States', 'LEARNING DISABILITIES ASSOCIATION OF AMERICA', 'Dyslexia', 'LABOR', 'Learning Disabilities', 'Discrimination', 'Law and Legislation', 'Handicapped']"
12/18/2006,The Midas Touch,Is paper currency truly biased against the blind?,article,Op-Ed,OpEd,Opinion,"['Discrimination', 'Blindness', 'Currency', 'National Federation of the Blind', 'Handicapped']"
12/18/2006,The Midas Touch,"Op-Ed article by Marc Maurer, president of National Federation of the Blind, disagrees with recent ruling by Judge James Robertson that United States currency discriminates against blind people because bills are all same size and cannot be distingished by touch; says blind people are not prevented from spending money; says identifying money by feel, as blind are often able to do in other countries, may be more convenient, but inconvenience is not same thing as discrimination; says it is crucial that minorities not cry 'discrimination' when no discrimination has occurred; says blind should not engage in frivolous litigation (M)",article,Op-Ed,Editorial Desk,Opinion,"['National Federation of the Blind', 'Robertson, James', 'Currency', 'Suits and Litigation', 'Discrimination', 'Blindness', 'Handicapped']"
12/25/2006,Correct Change,Adrian Spratt letter disagrees with Marc Maurer's Dec 18 Op-Ed article opposing efforts by organizations for blind to persuade Treasury to make cash identifiable for visually impaired people,article,Letter,Editorial Desk,Opinion,"['Treasury Department', 'SPRATT, ADRIAN', 'MAURER, MARC', 'Currency', 'Blindness']"
12/25/2006,Correct Change (1 Letter),To the Editor:.,article,Letter,Letters,Opinion,"['Blindness', 'Currency', 'Handicapped']"
12/25/2006,Where Sign Language Is Far From Foreign,"Tucked in the western part of New York, Rochester is home to the nation's largest deaf population per capita.",article,News,Metro,New York,"['Sign Language', 'Deafness', 'Rochester (NY)', 'Colleges and Universities']"
12/25/2006,Where Sign Language Is Far From Foreign,"Rochester, NY, is home to nation's largest deaf population per capita, with about 90,000 people who are deaf or hard of hearing living among metropolitan area's 700,000 residents; transformation began in 1968 with opening of National Technical Institute for the Deaf; photo (M)",article,News,Metropolitan Desk,New York,"['Rochester (NY)', 'NATIONAL TECHNICAL INSTITUTE FOR THE DEAF', 'Deafness', 'Colleges and Universities', 'Sign Language']"
12/27/2006,"Paterson & Son, Offices in Harlem and Albany","David Paterson prepares to take over as New York State's first black lieutenant governor, post his father, Basil Paterson, unsuccessfully sought in 1970; father, who ran with Arthur J Goldberg, is 80 years old and active lawyer and labor negotiator; David Paterson, 51, is legally blind from childhood disease; says he has felt more discrimination as disabled than as black; photos (M)",article,News,Metropolitan Desk,New York,"['New York State', 'Paterson, Basil', 'Paterson, David A', 'PATERSON, DAVID', 'GOLDBERG, ARTHUR J', 'LIEUTENANT GOVERNORS (US)', 'United States Politics and Government', 'Blacks', 'Black People', 'Politics and Government', 'Biographical Information', 'Discrimination', 'Blindness']"
12/29/2006,"At a Railway Coffee Stand, a Battle Over What's Fair","Gregory Maher fights Greenwich, Conn, over its decision to transfer his eight-year-old coffee concession at Metro-North station to Adam Fairbanks, who is blind; Greenwich cites federal and state laws giving preference to blind regarding opertion of concessions on government property; Fairbanks participated in state-run training program; Maher concession operates on month-to-month lease; photo (M)",article,News,Metropolitan Desk,New York,"['Greenwich (Conn)', 'Metro-North Commuter Railroad', 'MAHER, GREGORY', 'FAIRBANKS, ADAM', 'Relocation of Business', 'Renting and Leasing', 'Railroads', 'Law and Legislation', 'Coffee', 'Blindness', 'Stations and Terminals (Passenger)', 'Handicapped']"
